"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6433","test forgot password page","firefox","2026-03-16","passed","2026-03-16","","forgot.spec.js","",""
"","812","5. Hover over elements","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","502","2. Handle JS Confirm - Dismiss","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","589","9. Dynamic Loading - Wait for element","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","503","1. Basic Authentication via URL","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1087","8. Evaluate JS in Browser Context","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1801","should show header Row","firefox","2026-03-16","passed","2026-03-16","","dynamicHeader.spec.js","",""
"","1077","3. Form Based Auth - Failure","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","0","Fix this flaky test later","webkit","2026-03-16","skipped","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","30998","4. Intercept & Mock Network Request","webkit","2026-03-16","broken","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1154","8. Handle Checkboxes","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1490","2. Error: Invalid Email Format","firefox","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","156","3. Error: Message Too Short","chromium","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","0","localhost 3000 contact test for aaryan@gmail.com","webkit","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","1487","1. Successful Submission","firefox","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","370","8. Evaluate JS in Browser Context","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","634","Using test.step for reporting","webkit","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","1468","Search test for Java","firefox","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","851","Soft Assertions","webkit","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","158","2. Error: Invalid Email Format","chromium","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","2306","Polling Assertions","webkit","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","488","3. Handle JS Prompt - Input Text","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1919","Polling Assertions","chromium","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","688","1. Login and save state","chromium","2026-03-16","passed","2026-03-16","Authentication Management","auth.spec.js","",""
"","2436","Search test for Java","webkit","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1","test","chromium","2026-03-16","skipped","2026-03-16","","amazon.spec.js","",""
"","1473","3. Error: Message Too Short","firefox","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","673","8. Evaluate JS in Browser Context","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1208","3. Handle JS Prompt - Input Text","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","5289","Mark as expected failure","chromium","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","6101","Mark as expected failure","firefox","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","0","localhost 3000 contact test for arush@gmail.com","chromium","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","1033","1. Handle JS Alert - Accept","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","154","1. Successful Submission","chromium","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","731","10. Take Element Screenshot","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","962","2. Handle JS Confirm - Dismiss","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","573","1. Basic Authentication via URL","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","821","6. Drag and Drop","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","778","2. Error: Invalid Email Format","webkit","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","2964","2. Form Based Auth - Success","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","30190","4. Interact with IFrame","firefox","2026-03-16","broken","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","has title","firefox","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","1413","6. Handle File Download","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1040","7. Select from Dropdown","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","958","7. Multiple Windows/Tabs","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","512","7. Multiple Windows/Tabs","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1035","10. File Upload","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","692","3. Error: Message Too Short","webkit","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","528","Slow test with custom timeout","firefox","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","1015","Search test for JavaScript","firefox","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1310","Test 1 running in parallel","firefox","2026-03-16","passed","2026-03-16","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","0","localhost 3000 contact test for aaryan@gmail.com","chromium","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","0","test","webkit","2026-03-16","skipped","2026-03-16","","amazon.spec.js","",""
"","1128","5. Hover over elements","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1615","10. Take Element Screenshot","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","545","6. Handle File Download","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","883","Test 1 running in parallel","webkit","2026-03-16","passed","2026-03-16","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","472","7. Select from Dropdown","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","197","Using test.step for reporting","chromium","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","31166","test forgot password page","webkit","2026-03-16","broken","2026-03-16","","forgot.spec.js","",""
"","900","Slow test with custom timeout","webkit","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","504","1. Handle JS Alert - Accept","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1","localhost 3000 contact test for arush@gmail.com","firefox","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","0","contact page submit","webkit","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","0","localhost 3000 contact test for arush@gmail.com","webkit","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","0","has title","webkit","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","707","9. Set Local Storage to bypass UI","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","550","10. Take Element Screenshot","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1339","2. Verify secure area without logging in again","webkit","2026-03-16","passed","2026-03-16","Authentication Management > Tests that require login","auth.spec.js","",""
"","0","contact page title","chromium","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","1612","Search test for Python","webkit","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","0","get started link","webkit","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","432","2. Verify secure area without logging in again","chromium","2026-03-16","passed","2026-03-16","Authentication Management > Tests that require login","auth.spec.js","",""
"","0","contact page title","webkit","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","1101","1. Handle JS Alert - Accept","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","test","firefox","2026-03-16","skipped","2026-03-16","","amazon.spec.js","",""
"","0","Skip this test because feature is not ready","webkit","2026-03-16","skipped","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","887","3. Handle JS Prompt - Input Text","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30875","5. Wait for specific API response","webkit","2026-03-16","broken","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","0","Skip this test because feature is not ready","firefox","2026-03-16","skipped","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","896","8. Handle Checkboxes","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","545","3. Form Based Auth - Failure","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","30478","4. Intercept & Mock Network Request","firefox","2026-03-16","broken","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","585","2. Form Based Auth - Success","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","0","get started link","firefox","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","0","Fix this flaky test later","chromium","2026-03-16","skipped","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","507","5. Hover over elements","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","629","10. File Upload","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","533","8. Handle Checkboxes","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","get started link","chromium","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","0","localhost 3000 contact test for aaryan@gmail.com","firefox","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","6013","Search test for JavaScript","webkit","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1","contact page title","firefox","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","995","Search test for Java","chromium","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","478","should show header Row","chromium","2026-03-16","passed","2026-03-16","","dynamicHeader.spec.js","",""
"","0","Fix this flaky test later","firefox","2026-03-16","skipped","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","8750","Mark as expected failure","webkit","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","821","Test 2 running in parallel","webkit","2026-03-16","passed","2026-03-16","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","910","Search test for Python","firefox","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1114","9. Set Local Storage to bypass UI","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","30339","5. Wait for specific API response","firefox","2026-03-16","broken","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1284","10. File Upload","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1754","1. Login and save state","webkit","2026-03-16","passed","2026-03-16","Authentication Management","auth.spec.js","",""
"","381","9. Set Local Storage to bypass UI","chromium","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","563","6. Drag and Drop","chromium","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1213","3. Form Based Auth - Failure","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","4504","test forgot password page","chromium","2026-03-16","passed","2026-03-16","","forgot.spec.js","",""
"","345","Test 2 running in parallel","chromium","2026-03-16","passed","2026-03-16","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","1791","6. Handle File Download","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","30105","4. Interact with IFrame","chromium","2026-03-16","broken","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30230","4. Interact with IFrame","webkit","2026-03-16","broken","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","988","1. Basic Authentication via URL","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","0","Skip this test because feature is not ready","chromium","2026-03-16","skipped","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","1380","should show header Row","webkit","2026-03-16","passed","2026-03-16","","dynamicHeader.spec.js","",""
"","1333","2. Handle JS Confirm - Dismiss","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","811","2. Form Based Auth - Success","firefox","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
